감정_대분류,사람문장
상처,오늘 회사를 퇴사 했어.후배가 실수한 것을 내가 모두 뒤집어썼어. 억울해.부인한테 뭐라고 말해야 될지.
기쁨,내가 지금 육십 먹은 할아버지보다 더 빨리 달려서 달리기를 이겼어!이제 나이가 많이 들어서 달리기가 느려졌다고 생각했는데 아직도 이길 수 있단 생각에 흥분이 돼!나이가 들었어도 불가능은 없다고 생각이 들었어. 더욱 삶이 희망차졌어!
분노,아내의 병원비가 너무 많이 들어.암이라서 항암치료와 수술을 병행해야 해.자식들한테 병원비를 보태줄 수 있는지 물어봐야겠어.
기쁨,예전에 같이 일했던 상사가 우리 집 옆집으로 이사를 왔다는데 너무 반갑더라고.내가 그분을 많이 존경했었는데 이렇게 다시 뵙다니 인연이라는 게 참 신기하다.앞으로 자주 왕래하면서 존경하고 감사한 마음 표현해야지.시간 되시는지 여쭤보고 저녁 식사를 함께 하는 게 좋겠어.
당황,미향 할머니는 자식들한테 병원비 받는다는데 부러워.나는 병원비 한번 받은 적 없는데 비교하게 돼내 자식들의 다른 장점을 생각해봐야겠어.
슬픔,좋은 사람이라고 생각했던 복지관 사람이 내 험담을 한다는 걸 알고 너무 슬퍼졌어.믿었던 사람에게 배신을 당하니 마음이 너무 아파. 정말 좋은 사람이라고 생각했는데 뒤로는 내 욕을 하고 다녔어.그 사람과 대면해서 내 욕을 하고 다니는 이유가 뭔지 왜 그러는지 물어봐야겠어.
기쁨,만성 질환은 악화하지만 않으면 관리하며 오래오래 지낼 수 있어.옛날에는 크게 아픈 질병이기도 했지만 요즘에는 세상이 좋아져서 그래.무엇보다 나는 긍정적으로 지내려고 많이 노력해. 긍정의 힘을 믿거든.
기쁨,일을 그만두고 애들한테 용돈 받고 살고 있는데 돈을 걱정 안 해도 돼서 너무 좋아.자식들이 모두 돈을 잘 벌어서 용돈도 넉넉하게 줘. 요즘 돈 걱정 없어서 생활이 너무 편해.맞아. 앞으로 자녀들한테 더 잘해야겠어.
분노,몸이 아파서 아무것도 못하겠어. 너무 짜증나.밖에서 돈이라도 벌어오고 싶은데 할 수 있는게 없어.그냥 가정에서 할 수 있는 일이라도 찾아봐야지.
기쁨,고혈압약을 바꿨는데 혈압이 안정적으로 유지되고 있어.꾸준히 운동을 하고 있어.
상처,의사가 등산을 자주 가라고 해서 자주 다녔더니 오히려 무릎이 예전보다 더 시큰거려. 너무 억울해.아니 어떻게 의사가 틀린 말을 할 수 있지? 의사 때문에 무릎만 더 안 좋아졌어.내일 이 앞에 홍외과를 가 봐야겠어. 거기 선생이 잘 해.
불안,만성질환이 악화되면 가족도 친구도 모두 나를 떠날 것 같아서 불안한 마음이 들어.건강이 나빠지지 않도록 운동을 더 열심히 해야겠어.
당황,사람들이 나를 불쌍하게 볼까 봐 싫어서 피하게 돼.한 청년이 나를 부축해주려는데 측은하게 여기는 것 같아서 됐다고 거절했어.내가 젊었을 때는 그냥 따뜻한 마음으로 도와드렸던 생각이 나네. 그 청년도 그런 마음이었을까?
당황,부적만 믿고 건강관리를 안 한 친구를 보면 참 한심하게 느껴져.부적이 무슨 만병통치약인가 그것만 믿고 있게.정말 건강한지 일단 검진부터 받고 그래도 건강하다면 마음대로 하라고 해야지.정신 좀 차리고 건강 똑바로 챙겼으면 좋겠지.
당황,내가 치매 진단을 받자 아들이 재산을 가로채고 요양원으로 보내버려서 당황했어.그런 나쁜 놈이 아들은 무슨 아들이야! 내가 가만히 있지 않겠어.내가 치매를 어서 고쳐서 아들 녀석에게 뺏긴 재산을 다 찾아올 거야.
슬픔,아내가 노후 자금을 들고 도망치는 바람에 생활이 힘들어져 슬퍼.몸도 성치 않아 병원비도 많이 드는데 앞으로 어떻게 살아야 할지 막막해.자식들에게 연락해서 도움을 청해야겠어.
분노,세상에 병원 가는 길에 병원비를 강탈당했어. 너무 화가 난다.당장 돈을 더 구하기도 막막한데 어이가 없고 분하다.모르겠어. 신고는 했고 가족에게 빌려보려는데 짜증난다.
분노,자식이 생각나서 전화를 했는데 돈을 달라는 줄 알고 화만 내지 뭐야!어이가 없네. 이 어미를 평소에 어떻게 봤으면 그래!속상해 정말. 친구한테 전화라도 해봐야겠어.
상처,난 노인정을 다니는데 노인정 회장이 회비를 몰래 병원 치료비를 내고 있더라.몰래 한 것은 기분이 나쁘긴 한다.한번 얘기를 해봐야지. 얘기를 하고 치료를 잘 하라고 응원해줄 거야.
상처,뇌수막염을 앓고 났더니 움직이지 못하겠어. 그런데 아들놈이 찾아와 인사도 안 하는 거야.내가 걔를 얼마나 예뻐했는데. 다른 때도 아니고 아프니까 더 괘씸한 거야.좋게 말을 해야지. 내가 아파서 다른 때보다 더 섭섭하지 인사라도 좀 하라고.
기쁨,정말 다행이야. 이 나이에 직장을 구해서 병원비를 벌 수 있다니.맞아. 병원비를 구할 수 없어서 병원에 못 다닐 줄 알았는데.열심히 돈을 벌어서 병원에서 할 수 있는 치료는 다 받으려고.
당황,요새 참 외로워. 자식들하고도 연을 끊은 지 꽤 돼서 혈육도 없는데 말이야.자식들이 자꾸 돈 이야기만 해서 끊었더니 막상 보고 싶고 외로워서 당황스러워.자식들한테 오랜만에 전화나 한 번 해 봐야겠어.
상처,아내가 나와 상의도 없이 집을 담보로 대출을 받아 아들에게 사업 자금을 대줬어.내가 가장인데 나한테 묻지도 않고 일을 벌여서 충격이야.앞으로 이렇게 행동하면 이혼이라고 엄포를 놓을 거야.
분노,사람이 다쳤는데 친구들이 병문안도 안 오고 정말 화가 나네.내가 자기들한테 얼마나 잘했는데 어떻게 이럴 수 있지?
분노,집에만 가면 가족들이 괴롭혀 자꾸 바깥으로 나가게 돼.나도 혼자 쉴 수 있는 나만의 시간과 공간이 필요해.나만의 시간을 위해서 나만의 취미나 공간을 만들어 봐야겠어.
상처,어떻게 이런 일이 있을 수가 있지?동업자가 몰래 돈을 빼돌리고 있었던 걸 이제야 알았어.
불안,사람들이 내가 이렇게 찢어지게 가난하다는 걸 알게 될까 봐 겁나.아들이 주식에 손을 대기 시작하고부터 모든 게 변했어.개인 파산 신청을 할 수 있대. 그러면 빚에서는 해결될 수 있는 것 같아.
분노,돈을 빌려 간 친구가 돈을 갚지 않고 있어서 매우 화가 나. 그래서 매일 그 친구 집에 찾아갔어.매일 그 친구 집에 찾아갔는데도 벌써 한 달째 돈을 갚지 않고 있어서 더욱 화가 나.오늘은 친구에게 단호하게 말해서 기필코 돈을 받아내야겠어.
당황,이사 가려고 했는데 집이 안 팔려. 당황스럽다.작은 집으로 이사하려고 집을 내놓았는데 안 팔려서 차질이 생겼어.이런 적은 처음이야. 친구와 술 한 잔 해야겠어.
분노,친구랑 만나는게 요새 너무 힘들어.나랑 취향이 달라도 너무 달라.
불안,이번에 암 말기 판정을 받고 병원에 입원했는데 자식들이 찾아오지 않아. 모두 날 떠난 거 같아서 불안해.특히 이 병원 안에서 나갈 수 없이 아무도 못보고 죽을 때까지 있어야 한다는 생각에 너무 우울해.더 이상 병원에서 시간을 허비하고 싶지 않아. 퇴원하고 친구들과 가족들을 보면서 하고 싶은 일들을 하면서 마지막을 준비해야겠어.
분노,아들은 내 걱정보다 보험만 궁금해 하니까 짜증 나.병에 걸린 나는 걱정도 되지 않는 아들에게 화가 나.아들에게 돈 얘기는 하지 않겠어.
슬픔,내 수술비 때문에 딸이 사채에 손을 댔대. 너무 놀랐어.사위가 하는 말을 듣고 너무 속상했어.사채는 어떻게든 빨리 갚게 해야지.
기쁨,오늘 낮에 골목길을 걷다가 차에 치일 뻔했는데 얼마나 놀랐는지 십 년 감수했어.건강해도 한순간 사고로 죽을 수도 있다는 생각이 드니까 앞으로 남은 인생을 알차게 살아가야겠어.
슬픔,안 그래도 경제적으로 힘든데 남편이 끊었다던 노름에 또 다시 손을 대고 있어.이제 애들을 위해서라도 남편이랑은 남남으로 살 수밖에 없어. 남편에게 완전 실망했어.애들은 이제 직장에 다니고 또 결혼도 했으니 나도 일 그만두고 고향에 돌아가 농사짓고 살고 싶어.
분노,매일매일 약을 한 움큼씩 먹으려니 짜증이 나! 이걸 언제 다 먹냐고!이 병원 가면 이거 먹어라. 저 병원 가면 저거 먹어라! 세상에 약 먹다가 배부르게 생겼어. 나 참.
분노,내가 요새는 돈이 없어서 밥도 잘 못 먹어. 근데 자식들은 아예 관심도 없는 것 같아서 화가 나.이렇게 신경을 안 써줄 줄은 몰랐어. 그래도 열심히 키워놨는데.그냥 가서 물어보려고. 참는 성격이 아니야.
불안,고지혈증 때문에 이제 고기를 먹을 수가 없는 게 스트레스야.고기는 이제 다 아내 차지야.어쩔 수 없이 식습관을 바꾸도록 노력해야겠어.
불안,아내에게 조심스럽게 내가 이제 얼마 살지 못할 것 같다고 말했어.마음이 아팠어. 너무 슬퍼서 엄청 울었어.가족들과 여행을 다녀와야겠어.
분노,매달 내 병원비로 돈이 너무 많이 나가서 맛있는 음식도 잘 사먹을 수가 없어.약값만 조금 적게 들면 좋을 텐데 참 짜증스러워.일단 친한 의사선생님께 약값에 대해서 상담을 해봐야겠어.
상처,대장암으로 생긴 치료비 대출금을 못 갚고 있었는데 아들이 대신 갚아 줘서 고맙고 미안해.아픈지 오래돼서 해준 것이 없어 더 미안한 마음이 크지.아들은 내 건강 말고는 바라는 것이 없대. 앞으로도 치료들 잘 견뎌서 아들 옆에 오래 있어줘야지.
상처,병원비로 친구가 추천해 준 주식을 샀는데 다음날 그 주식이 폭락했어.가족들에게는 알리지 못하겠어.주식은 시간이 지나면 오를 수 있으니 얘기는 해야겠지.
당황,내 건강이 안 좋아서 나 자신이 한심하게 느껴져.내일 헬스 시작하려고 해.
당황,어휴 이번 달 생활비가 얼마 안 남았어.친구들 만난다고 내가 충동적으로 식사비를 냈거든. 생각보다 많이 나왔어.앞으로는 이러지 말아야지. 충동적으로 일을 하다니 부끄럽다.
불안,이대로는 딸에게 물려줄 재산도 안 남겠어.하나뿐인 딸 좀 편하게 살게 해 주고 싶은데. 될지 모르겠네.
슬픔,친구가 병에 걸린 사실을 나한테 숨겨서 싸웠어. 많이 슬프네.친구가 병에 걸린 지도 모르고 마냥 마음 편하게 있었던 게 너무 미안해.내가 먼저 전화해서 손을 내밀어 볼까해.
불안,자녀들에게 나의 부양에 대한 부담을 주고 싶지 않은데. 부담을 줄까 봐 자꾸 걱정돼.자녀들에게 그런 부담을 주고 싶지 않은데 자꾸 나이를 먹어갈수록 자녀들에게 의지하게 되고 그러네.친구들도 만나고 소일거리도 찾아봐야겠어.
기쁨,이 동네에 정이 많이 들어서 앞으로도 떠나지 않고 싶어.내가 사는 동네가 정이 많아. 이웃간에 사이도 좋아서 여기서 쭉 살고 싶어.매년 우리끼리 작은 잔치를 여는데 이번에 내가 맛있는 음식을 해야겠어.
기쁨,평소에 가고 싶어 했던 곳으로 가족들과 여행을 가게 돼서 신난다.응. 내가 가고 싶었던 바다를 가게 됐어.해수욕장에서 수영을 하고 밤엔 캠핑을 할 거야.
상처,수술비가 모자라서 누군가에게 빌려야 하는 상황이 너무 괴로워.사업이 힘들어져서 정리하고 났더니 빚만 남아서 내 수술비조차 댈 수가 없는 상황이야.이제까지 같이 고생해 온 아내랑 이야기해 봐야겠어.
당황,남편이 천식이라 의사가 담배를 끊으라고 했는데도 어제 담배를 또 피우다가 병원에 실려 갔는데 너무 한심해.왜 담배를 못 끊는 건지 이해가 안 돼. 앞으로도 필까 봐 걱정이야.금연이 쉽지 않은 건 아니까 보건소 도움도 받으면서 금연하도록 옆에서 계속 신경 써줘야겠어.
당황,난 아내가 좋아서 장난을 쳤는데 화를 냈어.너무 당황스러워. 기분이 나빠질 줄은 몰랐어.아내에게 장난이었다고 설명해봐야겠어.
불안,치료를 받았는데도 눈이 잘 안 보여서 너무 불안하네. 앞으로 눈이 안 보이면 나는 어쩌지?그런데 며칠 지나면 대부분 괜찮아진다고 그러더라고.조금 더 기다려 보고 다시 병원을 가 봐야겠어.
불안,친구가 수술을 하는데 수술비를 빌려 달래.한 번은 빌려주는데 두 번은 어려울 것 같아.아니 하지만 솔직하게 얘기해야겠어.
기쁨,주택을 마련했어.그러게 말이야. 가족들이 너무 좋아해서 나도 행복해.응. 내 오래된 꿈이었거든. 드디어 이뤘어.
당황,손자에게 웃긴 표정을 지어주면서 놀아주는 모습을 동생에게 들켜버렸어. 너무 부끄러웠어.웃긴 표정을 지으면서 손자를 놀아주고 있는 모습을 거실에서 동생이 보고 있더라고.동생도 불러서 손자 놀아주는 것을 시켜야겠어.동생은 아직 손주가 없으니 이참에 할아버지 체험을 해 보는 거지.
분노,주민 센터에 있는 체육관은 저녁에 너무 빨리 문을 닫아. 헛걸음 하게 되어 짜증나.주민 센터는 문을 너무 빨리 닫아 운동을 할 수가 없어.주민 센터 말고 문화센터로 가야겠어. 거기는 늦게까지 체육관을 열어놔.
불안,지금부터라도 근력운동을 하지 않으면 내가 걷기 힘들 거라고 하네.그 동안 관리를 안 한 탓도 있지만 막상 걷지 못할 거라고 하니 충격이 크네.운동을 할 수 있는 것을 찾아봐야겠어. 내가 꾸준히 잘 할 수 있는 것으로.
당황,매일 여섯 시간만 자도 건강한데 아들은 매일 피곤해하는 게 한심해 보여.젊은 애가 왜 저렇게 매일 피곤해 보이는지 알 수가 없네.좀 규칙적인 생활을 하도록 해야겠어.건강 검진을 해서 자기 몸 상태를 보여주고 경각심을 가지게 해야겠어.
상처,혼자 자식들 키우느라 질병이 심해졌는데 자식들은 나보다 돈 걱정이 앞서나 봐.자식만 보고 힘들게 살아왔는데 세상에 홀로 남겨진 기분이야.방법이 없어. 과부로 살아온 나에게 하소연할 친구도 없는데.
기쁨,남편이랑 지금처럼 아프지 않고 오래 살았으면 좋겠어.우리는 아직 사이가 참 좋은데 이 행복이 오래 유지됐으면 좋겠어.응. 아프거나 하지 않게 운동도 같이하면서 건강 챙기려고.
기쁨,나이가 들어 건강이 점점 안 좋아져서 걱정이었는데 우리 딸이 내 가게를 물려받겠다고 말하니까 안심이 돼.우리 딸이 앞으로도 가게를 잘 이끌어갈 수 있었으면 해.가게에 대한 정보와 잘할 수 있는 방법을 알려주어야겠어.가게에 온 손님들이 맛 때문에 주인 바뀌었냐고 묻는 일이 없었으면 좋겠어.
상처,자식들이 잘 자란 친구를 보면 너무 배가 아파.내 자식은 평범한데 친구 자식은 출세했잖아.비교를 그만 해야 할 것 같아. 내 자식도 소중한데 말이야.
상처,내가 아픈데 내 자식들은 내 걱정은 커녕 온통 돈 걱정뿐이라는 게 배신감이 느껴져.내가 인생을 헛되게 산 것인지 자식을 잘못 키운 건지 모르겠어. 마음이 너무 힘들어.자식들에게 솔직하게 내가 배신당한 기분이라고 이야기하고 싶어.
불안,이번 달 보험료도 못 냈는데 갑자기 카드값 독촉장을 받았어. 정말 막막하고 혼란스러워.회사에 월급 가불이라도 받아야 할까 봐. 막막하지만 어떻게든 해결해야지.
분노,암에 걸렸는데 자식들이 나를 그냥 요양원에 보내고 챙기지도 않아.맞아. 내가 걔네들한테 해준 것이 얼만데 늙고 병들었다고 바로 처분하더군.요양원 비용을 죄책감 없이 받으려고 해.
상처,건강에 대한 상처를 받았어.오늘 병원에 갔다 왔는데 결과가 충격적이었어.응. 앞으로 어떻게 해야할 지 모르겠다.
기쁨,난 나이가 먹으니까 젋었을 때보단 편안하고 좋아.젊을 때는 욕심도 있고 자식들도 남들보다는 잘 키워야 된다고 생각했지.난 다른 사람들보다 유별난 거 같았는데 세월이 흐르니까 그 마음이 변했어.
당황,건강한 줄 알았는데 피가 섞인 소변을 봤어.맞아. 건강 검진에서는 괜찮다고 나왔었는데 그러네.병원에 한 번 가보려고 해. 혹시 무슨 문제가 있는지 확인해봐야 될 것 같아.
불안,나이도 있고 몸도 약한데 앞으로 어떻게 살아야 할지 불안해.어떤 정책이 있는지도 모르고 삶이 너무 막막한 기분이야. 정보를 얻을 수 있었으면 좋겠어.집 근처에 주민 센터가 있는데 한번 가 봐야겠어. 혹시 도움을 받을 수 있는지 알아봐야겠어.
분노,친구들이 성가시게 계속 술 먹자고하네. 바빠죽겠는데.정말 좋은 친구들인데 내 상황이 바쁘니 성가시게 느껴지네.
당황,친구들이 문병 와서 아내를 잘 얻었다고 말해.아내가 기분 나빠할 수도 있으니 그만하라고 말해야 할까 고민이야.역시 친구들에게 하지 말라고 말해야겠어.
상처,지역 노인잔치에 갔는데 더 우울해졌어.다들 건강하고 돈이 많은데 나만 아프고 돈 없는 노인인 거 같아서 속상했어.내 상황과 비슷한 친구들을 만나서 이야기나 해야겠어.
슬픔,노후준비를 미리 못한 게 후회돼.미리 준비를 해놨으면 이런 일도 없었을 텐데.지금부터라도 아끼고 돈을 모아야지.
불안,자꾸 아내가 노후 자금과 관련해서 옆집 남편과 나를 비교해서 스트레스받아.응. 제발 남과 비교를 하지 않았으면 좋겠어. 내일 아내에게 솔직히 내 맘을 얘기해야지.
분노,자식들에게 가끔 연락이 오는데 선물해 준다던 물건은 언제 사는지 자꾸 물어보게 돼.자식들이 선물해 준다던 물건을 빨리 주지 않아 화가 나지만 한편으로는 자식들의 사정을 이해하고 있어.자식들의 사정을 이해하기 때문에 앞으로는 선물해 준다던 물건은 언제 사는지 넌지시 물어보지 않겠어.
분노,아내가 아픈 걸 핑계로 가계부를 소홀히 써서 화를 냈어.무릎 관절염으로 가계부를 쓰기 싫다고 하니까 어이없어서 화가 나지.집에 있으면 더 화가 나니까 산책하면서 할 말을 생각해야겠어.
분노,당뇨병 때문에 약값이 너무 비싸 생활비가 모자랄 정도야.약값이 이렇게 비싼 줄 모르겠어. 내가 약값으로 허덕이어야 한다니 너무 화가 나.의사 선생님께 물어봐서 조금 저렴한 약을 찾아봐야겠어.
불안,건강에 대한 걱정이 생겼어.이제 나이가 드니까 건강이 걱정이 돼.이제부터 매일 운동하려고.
분노,사방에 나를 위협할 만한 물건이 많아서 움직일 수가 없어서 분노가 치밀어 올라.물건들이 위협적으로 보여서 굉장히 방어적이게 돼. 한쪽으로 치워놓을까 생각 중이야.아무래도 계속 못 움직이는 것보단 한쪽에 치워놔야 맘이 편하겠어.
불안,요즘 들어 계속 설사 했는데 알고 보니 당뇨 약 부작용 때문이었어.설사가 멈추지 않아 병원에 갔더니 당뇨약이 나한테 맞지 않았나봐.나한테 맞는 당뇨 약을 처방 받아야 할 것 같아.
분노,앞으로 아프지 말고 건강하게 살아야 할 텐데.지금은 괜찮아도 주변에 보니 여기저기 아프기 시작하면 생활이 힘들던데. 무슨 운동이라도 해야 하나. 귀찮기도 하고.뭐 쉽게 할 수 있는 게 있나 찾아봐야겠어.
불안,아내가 단순한 감기에 걸린 게 아닌 것 같아.아내가 많이 힘들어하는 것 같아 혹시라도 무슨 일이 생길까 걱정돼.옆에서 돌봐주고 챙겨줄래.
당황,밀린 병원비 내라고 우리 아들이 힘들게 보내준 돈인데! 그걸 잃어버렸어. 어떡하지.내 자신이 너무 황당해. 분명히 은행에서 돈을 찾아서 가방에 넣었는데 기억이 안 나.은행에 일단 물어봐야겠어. 두고 왔을 수도 있으니 씨씨티비를 확인해야지.
슬픔,자식들이 결혼을 하고 가정이 생기니 타인이 된 것 같다.결혼을 하고 가정이 생기니 예전과 같을 수만은 없네.말 하는것도 어색해.
당황,아내가 부적을 주면서 건강을 기원하는 거니까 항상 지니고 다니라고 하는데 참 당황스럽네.용한 무당이 써주었다고 하는데 나는 이런 미신은 믿지 않아서.그래도 나를 생각해서 산 거니까 일단은 차고 다니려고. 아내한테는 다음엔 사지 말라고 말하고.
상처,아들들이 나를 이용해서 돈을 벌려고 한다는 것을 알았는데 배신감이 느껴지네.나를 위한 것인 줄 알았는데 그게 다 자신들을 위한 것이라니 너무 하잖아.자식이 잘되는 길이라면 나도 도와주겠는데 이런 건 용납 못해. 따끔하게 혼내야지.
기쁨,이번 달은 생각보다 수입이 좀 늘어서 기분이 좋네.부업으로 시작한 일이 생각보다 수입이 꽤 됐어. 기대한 것보다 많아서 만족스러워.
상처,김 씨 할머니가 죽었대.혼자 사는 줄 몰랐는데 갑자기 이렇게 돼버렸네.친구를 만나서 같이 시간을 좀 보내야겠어.
분노,매달 계좌에 돈을 저금하러 은행에 가는 게 너무 성가셔.돈을 저금하지 않을 수도 없고 누가 대신 해 줄 수도 없는 건데.요즘에 인터넷 뱅킹도 되니까 자동 이체가 안 되는지 물어봐야겠어.
분노,이번에 사업이 망해서 힘드네.동업하던 친구 놈 놀 때 나 혼자 일했는데 이렇게 망하고 나니 둘이 똑같이 빈털터리네?정말 불공평한 세상이야.
분노,죽음이 다가오는 게 화가 나.나는 더 오래 살고 싶어.
당황,죽음이 혐오스러워.내 삶이 끝나는 걸 상상할 수 없어.
당황,밥 먹고 차 마시는 습관이 있는데 의사가 그래서 빈혈 증상이 심한 거라고 해서 당황스러워.바로 차를 마시는 습관이 철분의 흡수를 방해한대.철분제를 더 잘 챙겨 먹고 힘들겠지만 습관을 바꾸려고 노력해야겠어.
불안,질병이 있는데 돈까지 없어서 걱정이야.질병이 있어도 돈만 있으면 괜찮다.친구나 가족도 중요하지.
상처,오랜만에 보는 친구가 내가 많이 늙었다고 말하길래 너무 상처받았어.시간이 지난만큼 나이가 들어서 그런 건데 생각하니 억울해.친구에게 서운한 걸 말하되 내가 늙었다는 사실을 인지해야겠어.
기쁨,젊었을 때부터 들어놓았던 보험이 치료비에 큰 도움이 되어서 기뻐.몸이 안 좋아서 병원을 다니게 됐는데 들어 놓았던 보험이 치료비를 해결해줘서 편안해졌어.이제 몸을 빨리 회복하기만을 기다리면 돼.
상처,김 사장이 나한테 사기를 쳤어.오랫동안 알고 지낸 사이라 믿었는데 이렇게 뒤통수를 칠 줄은 몰랐어.경찰에 신고하고 김 사장을 찾아내야겠어.
기쁨,최씨 할머니는 내 심정을 항상 잘 이해해줘.최씨 할머니와 만나기로 한 날에 다른 약속이 생겼는데도 최씨 할머니는 날 이해해줬어.맛있는 과일을 가져가서 같이 대화를 나눠야겠어.
분노,의사의 오진으로 건강을 잃지는 않을까 생각이 들어서 아파도 병원 방문을 하지 않게 돼.신뢰할만한 의사를 지인으로부터 추천받으면 조금 덜 두렵지 않을까?
슬픔,퇴직하고 막상 돈을 벌지 못하니 할 일 없이 보내는 여가시간들이 반갑지 않고 힘들어.퇴직하고 쉬면 무조건 좋을 줄 알았는데 휴식이 길어지니 무기력해져서 더 힘든 것 같아.돈을 많이 벌지는 못하더라도 내가 할 수 있는 일이 있다면 도전해 봐야겠어.
기쁨,내가 간질이 있어서 평소에 생활하는데 조금 불편한 것이 있어.내가 힘들어하는 것을 보고 자라서 그런지 이번에 작은 딸이 의대에 들어갔어.딸이 열심히 공부해서 내 병을 고쳐주고 싶대. 정말 기특해서 눈물이 나.
당황,힘들게 키운 자식들이 찾아오지 않아 기다리는 나의 삶이 비참해.기다리지 말자고 다짐해도 자꾸 기다려져.모르겠어. 자식들이 기다리는 내 마음을 알아줬으면 좋겠어.
슬픔,집에 전기를 고칠 비용을 마련할 수가 없어서 전기가 없는 채로 지내고 있어.어둡고 답답하지만 어찌할 방법이 없어서 우선 촛불로 버티고 있어.고치려면 돈이 필요한데 돈이 없어. 우선은 옆집에 부탁해서 전기를 끌어올 수 있으면 좋겠다.
불안,아프니 치료는 받아야하고 돈은 없어서 대출금만 늘어나고 있어. 대출금과 함께 불안감도 커지네.어떻게든 대출금도 갚고 앞으로의 병원비도 마련하고 싶어.여건이 되는 일자리를 알아보거나 급전은 가족들에게 조금씩 도움을 받아야겠어.
상처,내가 기관지염이 심해서 아내가 나와 상의도 않고 강아지를 입양 보냈대. 너무 괴로워.내가 몸이 안 좋지만 나랑 상의했으면 좋았을 텐데. 강아지가 보고 싶어.강아지를 어디로 보냈는지 아내한테 물어봐야겠어.
당황,노인정의 할머니들은 모두 자식들 자랑을 늘어놓았어.자식들이 없는 게 죄는 아니잖아.나만 힘든 것 같으니 앞으로 노인정 할머니들이 하는 말들 신경 쓰지 말아야지.
분노,내가 치매에 걸려서 아들이 요양원을 알아보는데 화가 나.아들 사정도 알지만 속상하고 화나는 건 어쩔 수가 없네.치매가 전문 치료가 필요해서 요양원을 알아 보는 건데 내가 생각을 바꿔야겠지.
불안,우리 회사가 언제 부도가 날지 몰라서 두렵고 불안해.심지어 몇 달째 월급조차 못 받고 있어서 카드빚만 늘어나고 있어.고용노동부 고용센터에 월급 미지급에 대해서 삼담해야겠어.
기쁨,나와 거래하는 업체는 신선한 재료를 가져다줄 것이라고 믿어.매번 납품받는 재료를 보면 상태가 아주 좋아서 소비자 신뢰도 같이 올라가거든.소비자에게 신뢰를 얻는 건 아주 중요하고 기쁜 일이거든.
슬픔,나이를 먹어도 마음에 드는 친구가 하나도 없다는 상황이 너무나도 슬퍼.다들 나랑 다르게 욕심이 너무 많아. 내 마음에 드는 친구 찾기가 쉽지 않네.사교 모임 같은 걸 들어야 하나 봐.
기쁨,손녀가 휴가를 받고는 내내 내 말동무도 해 주고 간별도 해 줬어.어느새 다 커서 내 간병을 하고 있다니 기특하고 예쁘고 고마워.다음에 왔을 때 뭐 맛있는 거라고 사다 놓고 고맙다고 얘기할래.
슬픔,신부전이 나아지고 있는 줄 알았는데 다시 투석을 시작해야 한다니 슬퍼.다시 힘듦을 겪어야 한다니 속상해.가족들에게 하소연 해볼래.
슬픔,요즘에 옛날이야기로 허세를 부리는 사람이 너무 환멸 나.맞아. 왕년에 내가 말이야 하면서 시작하는 말들은 이제 듣기 싫어.옛날이야기로 허세부리지 말고 현재나 잘 살라고 잔소리를 해볼까?
슬픔,동업했던 친구 녀석이 자기 이익만 주장해서 연락을 끊어버렸어.친구가 수익 배분할 때 자기 욕심만 채우려고 해서 실망해서 연락을 끊었지. 많이 속상해.믿었던 친구랑 이렇게 되고 속상해서 아무것도 하고 싶지 않아.
당황,이 나이에 연애하기가 좀 그렇다.그럼 나도 연애나 해볼까?
슬픔,사업에 실패한 일만 생각하면 주체 없이 눈물이 나.그때 욕심이 과했어. 그때로 다시 돌아갈 수만 있다면 사업은 아예 거들떠도 안 볼 거야.이미 엎질러진 물 다시 담을 순 없잖아. 난 아직 충분히 건강하니 다시 일어설 거야!
상처,박 씨가 내가 떨어진 아르바이트에 합격했어. 짜증나.맞아. 분명 박 씨도 나랑 같은 병을 가지고 있는데.면접을 잘 봤나? 나도 아르바이트 면접이라고 무시하지 말고 연습을 해야겠어.
불안,직장 상사가 유독 나에게 일을 많이 시켜서 스트레스받아.다른 동료도 많은데 왜 나에게만 일을 시키지? 말을 못 하니까 더 스트레스받아.
당황,아내 병 치료 때문에 사채를 쓰기는 했지만 이자를 너무 받아가니까 혐오스럽네.사람들이 간절히 필요하다는 것을 미끼로 해서 아주 고리대업을 하는 거나 다름없어.급하게 사채를 쓰기는 했는데 더 커지기 전에 은행대출로 돌려야겠어.
당황,앞집 고 씨가 노인인데도 건강하고 기억력이 좋아서 티브이에 출연했다고 하니 부러워.나도 건강하고 좋은 기억력을 가지고 싶은데 고 씨에게 물어볼까 생각 중이야.건강과 좋은 기억력 유지를 위해 하는 식이요법이나 생활습관이 뭔지 물어보려고 해.
분노,요즘 너무 모든 게 귀찮아.밖에 나가 일을 보는 것도 힘든 상황이라 만사가 다 성가시게 느껴지네.
당황,의사를 만났는데 좀 이상한 것 같아. 이 사람 의사가 맞나 생각이 들었다니까.의사가 그동안 자기가 실수로 관절염 약을 안 지어주고 항생제만 넣어줬대.딴 의사 찾아가야지. 믿을 수가 있나.
기쁨,손녀가 이제 걸음마를 걷는다는 소식을 들으니 덩달아 신이 나네.너무 기뻐. 우리 아들이랑 딸들 걸음마 때 생각도 나고 말이야.
